Div,Date,home_away,team,score,opp_score,Pts,win,goal_diff,points_running,gd_running,wins_running,match_count
Liga 1,14/08/2022,Home,Univ. Craiova,1,0,3,1,1,8,1,2,5
Liga 1,14/08/2022,Away,Mioveni,0,1,0,0,-1,1,-8,0,5
Liga 1,14/08/2022,Home,CFR Cluj,0,1,0,0,-1,9,2,3,5
Liga 1,14/08/2022,Away,FC Botosani,1,0,3,1,1,11,3,3,5
Liga 1,14/08/2022,Home,FCSB,3,2,3,1,1,6,-1,1,5
Liga 1,14/08/2022,Away,Chindia Targoviste,2,3,0,0,-1,2,-4,0,5
Liga 1,15/08/2022,Home,FC Voluntari,0,0,1,0,0,7,2,2,5
Liga 1,15/08/2022,Away,Sepsi Sf. Gheorghe,0,0,1,0,0,7,4,1,5
Liga 1,15/08/2022,Home,Farul Constanta,0,0,1,0,0,9,3,2,5
Liga 1,15/08/2022,Away,FC Hermannstadt,0,0,1,0,0,9,4,2,5
MLS,26/02/2022,Home,Philadelphia Union,1,1,1,0,0,1,0,0,1
MLS,26/02/2022,Away,Minnesota United,1,1,1,0,0,1,0,0,1
MLS,26/02/2022,Home,Columbus Crew,4,0,3,1,4,3,4,1,1
MLS,26/02/2022,Away,Vancouver Whitecaps,0,4,0,0,-4,0,-4,0,1
